name,company,year,Price,kms_driven,fuel_type
Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel
Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000,28000,Petrol
EcoSport Titanium 1.5L TDCi,Ford,2014,575000,36000,Diesel
Figo,Ford,2012,175000,41000,Diesel
Eon,Hyundai,2013,190000,25000,Petrol
EcoSport Ambiente 1.5L TDCi,Ford,2016,830000,24530,Diesel
Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol
Fabia Classic 1.2 MPI,Skoda,2010,182000,60000,Petrol
Stingray VXi,Maruti,2015,315000,30000,Petrol
Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol
Scorpio SLE BS IV,Mahindra,2015,320000,48660,Diesel
A8,Audi,2017,1000000,4000,Petrol
Q7,Audi,2014,500000,16934,Diesel
Scorpio S10,Mahindra,2016,350000,43000,Diesel
Alto 800,Maruti,2014,160000,35550,Petrol
Scorpio S10,Mahindra,2016,310000,39522,Diesel
Alto 800 Vxi,Maruti,2015,75000,39000,Petrol
i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Alto 800 Lx,Maruti,2017,190000,72000,Petrol
Vitara Brezza ZDi,Maruti,2016,290000,15975,Diesel
Alto LX,Maruti,2008,95000,70000,Petrol
Bolero DI,Mahindra,2017,180000,23452,Diesel
Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel
Scorpio S10 4WD,Mahindra,2015,250000,48508,Diesel
Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol
Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol
Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol
Innova 2.0 G 8 STR BS IV,Toyota,2012,650000,82000,Diesel
Lodgy 85 PS RXL,Renault,2018,689999,20000,Diesel
Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,448000,68000,Diesel
Baleno Delta 1.2,Maruti,2017,549000,32000,Diesel
Duster 110 PS RxZ Diesel Plus,Renault,2012,501000,38000,Diesel
Duster 85 PS RxE Diesel,Renault,2013,489999,27000,Diesel
City 1.5 S MT,Honda,2011,280000,33000,Petrol
Dzire,Maruti,2013,349999,46000,Diesel
Amaze,Honda,2013,284999,46000,Diesel
Amaze 1.5 SX i DTEC,Honda,2015,345000,36000,Diesel
City,Honda,2015,499999,55000,Petrol
Redi GO S,Datsun,2017,235000,16000,Petrol
SX4 ZXI MT,Maruti,2010,249999,36000,Petrol
Pajero Sport Limited Edition,Mitsubishi,2015,1475000,47000,Diesel
Scorpio S10,Mahindra,2015,395000,35000,Diesel
Swift VXi 1.2 ABS BS IV,Maruti,2017,220000,30874,Petrol
City ZX CVT,Honda,2017,170000,15000,Diesel
Wagon R LX BS IV,Maruti,2013,85000,29685,Petrol
Indigo eCS LS CR4 BS IV,Tata,2017,200000,130000,Diesel
Scorpio SLE BS IV,Mahindra,2012,570000,19000,Diesel
Polo Highline Exquisite P,Volkswagen,2014,315000,60000,Petrol
Spark LS 1.0,Chevrolet,2010,110000,41000,Petrol
Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel
City,Honda,2015,448999,54000,Petrol
Cooper S 1.6,Mini,2013,1891111,13000,Petrol
Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel
Amaze,Honda,2015,344999,22000,Petrol
Duster,Renault,2014,449999,50000,Diesel
Cooper S 1.6,Mini,2013,1891111,13500,Petrol
Scorpio S4,Mahindra,2015,865000,30000,Diesel
Scorpio VLX 2WD BS IV,Mahindra,2014,699000,50000,Diesel
Quanto C8,Mahindra,2013,375000,20000,Diesel
EcoSport,Ford,2017,489999,39000,Petrol
Brio,Honda,2012,224999,30000,Petrol
Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000,3600,Diesel
i20 Magna,Hyundai,2009,195000,32000,Petrol
Corolla Altis Diesel D4DG,Toyota,2010,351000,38000,Diesel
Verna Transform SX VTVT,Hyundai,2008,160000,45000,Petrol
Corolla Altis Petrol Ltd,Toyota,2009,240000,35000,Petrol
City 1.5 EXi New,Honda,2005,90000,50000,Petrol
Fabia 1.2L Diesel Elegance,Skoda,2011,155000,45863,Diesel
3 Series 320i,BMW,2011,600000,60500,Petrol
A Star Lxi,Maruti,2011,189500,12500,Petrol
Etios GD,Toyota,2013,350000,60000,Diesel
Figo Diesel EXI Option,Ford,2012,210000,35000,Diesel
Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000,35000,Petrol
Beat LT Diesel,Chevrolet,2012,135000,45000,Diesel
7 Series 740Li Sedan,BMW,2009,1600000,35000,Petrol
XUV500 W8 AWD 2013,Mahindra,2013,701000,38000,Diesel
i10 Magna 1.2,Hyundai,2014,265000,18000,Petrol
Verna Fluidic New,Hyundai,2015,525000,35000,Diesel
Swift VXi 1.2 BS IV,Maruti,2013,372000,13349,Petrol
Ertiga ZXI Plus,Maruti,2016,635000,29000,Petrol
EcoSport Titanium 1.5L TDCi,Ford,2014,550000,44000,Diesel
Ertiga Vxi,Maruti,2016,575000,29000,Petrol
Ertiga VDi,Maruti,2013,485000,42000,Diesel
Alto LXi BS III,Maruti,2012,155000,14000,Petrol
Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000,49000,Diesel
Amaze 1.2 S i VTEC,Honda,2014,325000,42000,Petrol
i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500,36200,Diesel
Figo Diesel EXI,Ford,2014,195000,50000,Diesel
Eeco 5 STR WITH AC HTR,Maruti,2015,251111,55000,Petrol
Ertiga ZXi,Maruti,2014,569999,45000,Petrol
Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
Ritz VXI,Maruti,2014,299999,19000,Petrol
Dzire,Maruti,2009,220000,46000,Petrol
Ritz LDi,Maruti,2013,399999,33000,Diesel
Dzire VDI,Maruti,2015,450000,104000,Diesel
Etios Liva G,Toyota,2014,270000,55000,Petrol
i20 Sportz 1.4 CRDI,Hyundai,2011,350000,33333,Diesel
Spark,Chevrolet,2012,158400,33600,Petrol
Alto K10 VXi AMT,Maruti,2017,350000,5600,Petrol
Micra XV,Nissan,2011,179000,41000,Petrol
Swift,Maruti,2007,125000,70000,Petrol
Alto 800,Maruti,2018,200000,7500,Petrol
Amaze 1.5 S i DTEC,Honda,2013,299000,45000,Diesel
Alto 800 Vxi,Maruti,2015,220000,38000,Petrol
Beat,Chevrolet,2015,150000,30000,Petrol
City 1.5 V MT,Honda,2010,285000,35000,Petrol
EcoSport Trend 1.5L TDCi,Ford,2016,830000,24330,Diesel
i20 Asta 1.2,Hyundai,2009,210000,65480,Petrol
Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000,41000,Petrol
Indica V2 eLS,Tata,2006,90000,20000,Petrol
Motors Ambassador,Hindustan,2000,70000,200000,Diesel
Corolla Altis 1.8 GL,Toyota,2010,289999,70000,Petrol
Corolla Altis 1.8 J,Toyota,2012,349999,59000,Petrol
Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999,99000,Diesel
Jetta Highline TDI AT,Volkswagen,2014,749999,46000,Diesel
Polo Comfortline 1.2L P,Volkswagen,2015,399999,2800,Petrol
Polo,Volkswagen,2014,274999,32000,Petrol
Scorpio,Mahindra,2015,984999,22000,Diesel
Sunny,Nissan,2012,224999,45000,Petrol
Elite i20,Hyundai,2018,599999,21000,Petrol
Kwid,Renault,2016,244999,11000,Petrol
Duster,Renault,2013,399999,41000,Diesel
Duster,Renault,2014,474999,50000,Diesel
Scorpio VLX Airbag,Mahindra,2011,499999,66000,Diesel
Alto 800 Lxi,Maruti,2018,310000,3000,Petrol
Spark LT 1.0,Chevrolet,2010,85000,45000,Petrol
Redi GO T O,Datsun,2016,245000,7000,Petrol
Swift RS VDI,Maruti,2010,189500,38500,Diesel
Punto Emotion 1.2,Fiat,2012,169500,37200,Diesel
Swift RS VDI,Maruti,2010,159500,43200,Diesel
Etios GD,Toyota,2013,275000,24800,Petrol
i20 Sportz 1.4 CRDI,Hyundai,2014,370000,60000,Diesel
i10 Sportz 1.2,Hyundai,2010,168000,45872,Petrol
Beat LT Opt Diesel,Chevrolet,2011,150000,40000,Diesel
Beat LS Diesel,Chevrolet,2011,145000,45000,Diesel
Beat LT Diesel,Chevrolet,2012,98500,38000,Diesel
Indigo CS,Tata,2011,85000,11400,Diesel
Corolla Altis 1.8 J,Toyota,2015,575000,42000,Petrol
City 1.5 V MT,Honda,2014,549000,39000,Petrol
Swift VDi,Maruti,2011,209000,47000,Diesel
Eon Era Plus,Hyundai,2013,185000,27000,Petrol
Scorpio S10,Mahindra,2015,900000,97200,Diesel
XUV500,Mahindra,2014,699999,52000,Diesel
Fiesta,Ford,2011,274999,55000,Diesel
City,Honda,2015,599999,30000,Diesel
Wagon R,Maruti,2012,199999,44000,Petrol
City,Honda,2014,544999,45000,Diesel
i20,Hyundai,2009,199000,31000,Petrol
Indigo eCS LX TDI BS III,Tata,2016,320000,175430,Diesel
Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel
Quanto C8,Mahindra,2013,340000,37000,Diesel
Petra ELX 1.2 PS,Fiat,2008,75000,65000,Petrol
Santro Xing XS,Hyundai,2005,49000,7500,Petrol
Ciaz VXi Plus,Maruti,2016,700000,3350,Petrol
Zen VX,Maruti,2000,55000,60000,Petrol
Creta 1.6 SX Plus Petrol,Hyundai,2017,895000,32000,Petrol
Scorpio SLX,Mahindra,2007,355000,75000,Diesel
Scorpio SLE BS IV,Mahindra,2012,565000,62000,Diesel
Innova 2.5 G BS III 8 STR,Toyota,2006,365000,73000,Diesel
Alto K10 VXi AMT,Maruti,2011,145000,41000,Petrol
Wagon R LXI BS IV,Maruti,2011,210000,35000,Petrol
Nano Cx BSIV,Tata,2013,40000,2200,Petrol
Alto Std BS IV,Maruti,2013,125000,39000,Petrol
Wagon R LXi BS III,Maruti,2009,135000,45000,Petrol
Swift VXI BSIII,Maruti,2006,135000,45000,Petrol
Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000,65000,Diesel
Wagon R LXi BS III,Maruti,2010,145000,54870,Petrol
Alto LXi BS III,Maruti,2010,135000,34580,Petrol
Passat Diesel Comfortline AT,Volkswagen,2009,450000,97000,Diesel
Scala RxL Diesel Travelogue,Renault,2015,375000,25000,Diesel
Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol
i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol
Xylo E4,Mahindra,2012,400000,35000,Diesel
Jeep MM 550 XDB,Mahindra,2019,390000,60,Diesel
Bolero SLE BS IV,Mahindra,2013,330000,80200,Diesel
Motors Force One LX ABS 7 STR,Force,2015,580000,3200,Diesel
SX4,Maruti,2012,265000,46000,Diesel
Jeep CL550 MDI,Mahindra,2019,379000,0,Diesel
Alto 800,Maruti,2015,219000,5000,Petrol
Jeep CL550 MDI,Mahindra,2018,385000,588,Diesel
Etios,Toyota,2011,275000,36000,Diesel
Polo,Volkswagen,2015,330000,38000,Diesel
City ZX VTEC,Honda,2008,110000,45000,Petrol
Wagon R LX BS III,Maruti,2006,80000,71200,Petrol
City VX O MT Diesel,Honda,2016,519000,52000,Diesel
Thar CRDe 4x4 AC,Mahindra,2016,730000,29000,Diesel
A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000,47000,Petrol
GLA Class 200 CDI Sport,Mercedes,2015,2000000,20000,Diesel
Freelander 2 SE,Land,2015,2100000,30000,Diesel
Kwid RXT,Renault,2017,340000,5000,Petrol
Aria Pleasure 4X2,Tata,2014,390000,35000,Diesel
B Class B180 Sports,Mercedes,2014,1400000,31000,Petrol
GO T O,Datsun,2016,245000,7000,Petrol
Indigo eCS LX TDI BS III,Tata,2016,320000,175400,Diesel
Jazz VX MT,Honda,2016,450000,41000,Petrol
Amaze 1.2 S i VTEC,Honda,2014,311000,33000,Petrol
City,Honda,2012,399999,45000,Petrol
City,Honda,2015,599999,39000,Diesel
Scorpio S4,Mahindra,2015,855000,30000,Diesel
i20 Active 1.4L SX O,Hyundai,2015,535000,37000,Diesel
Cooper S,Mini,2013,1891111,13000,Petrol
Ciaz ZXI Plus,Maruti,2017,699000,14000,Petrol
Tavera Neo,Chevrolet,2013,375000,55000,Diesel
Eon Sportz,Hyundai,2012,178000,30000,Petrol
Sumo Gold Select Variant,Tata,2013,300000,50000,Diesel
Wagon R 1.0,Maruti,2003,90000,45000,Petrol
Esteem VXi BS III,Maruti,2006,95000,45000,Petrol
Eeco 5 STR WITH AC HTR,Maruti,2015,255000,9300,Petrol
Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000,55000,Diesel
Wagon R 1.0 VXi,Maruti,2015,289999,22000,Petrol
Terrano XL D Plus,Nissan,2015,499999,60000,Diesel
Duster 85 PS RxE Diesel,Renault,2014,489999,59000,Diesel
Duster 85 PS RxL Diesel,Renault,2015,549999,19000,Diesel
Dzire ZXI,Maruti,2013,380000,30000,Petrol
Kwid RXT Opt,Renault,2018,325000,15000,Petrol
Maruti 800 Std,Maruti,2003,57000,56758,Petrol
Kwid 1.0 RXT AMT,Renault,2018,349999,10000,Petrol
Scala RxL Diesel,Renault,2014,349999,49000,Diesel
Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000,41000,Petrol
Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000,45000,Petrol
Beat LS Petrol,Chevrolet,2010,120000,43000,Petrol
Santro Xing XO eRLX Euro III,Hyundai,2000,59000,56450,Petrol
Beat LS Petrol,Chevrolet,2010,80000,56000,Petrol
Beat LS Petrol,Chevrolet,2015,220000,32700,Petrol
EcoSport Titanium 1.5L TDCi,Ford,2016,599000,30000,Diesel
Accent GLX,Hyundai,2006,80000,56000,Petrol
TUV300 T4 Plus,Mahindra,2016,675000,9000,Diesel
Indica V2 Xeta e GLE,Tata,2008,150000,11000,Petrol
Indigo CS LS DiCOR,Tata,2009,72500,46000,Diesel
Swift VXi 1.2 ABS BS IV,Maruti,2019,610000,73,Petrol
Scorpio VLX Special Edition BS III,Mahindra,2004,230000,160000,Diesel
Accord,Honda,2009,175000,58559,Petrol
EcoSport Titanium 1.5 TDCi,Ford,2014,520000,57000,Diesel
Ertiga,Maruti,2015,524999,50000,Diesel
Amaze,Honda,2014,299999,37000,Petrol
Dzire,Maruti,2012,299999,40000,Petrol
City,Honda,2011,284999,55000,Petrol
Scorpio 2.6 CRDe,Mahindra,2007,220000,170000,Diesel
Dzire,Maruti,2014,424999,55000,Diesel
City,Honda,2015,644999,39000,Petrol
Mobilio,Honda,2014,399999,44000,Petrol
Corolla Altis,Toyota,2009,199999,65000,Petrol
City,Honda,2014,584999,39000,Petrol
Laura,Skoda,2012,349999,44000,Diesel
Duster,Renault,2015,449999,49000,Diesel
Ertiga,Maruti,2018,799999,9000,Diesel
Dzire,Maruti,2015,444999,45000,Diesel
XUV500,Mahindra,2014,649999,47000,Diesel
Verna Fluidic,Hyundai,2012,444999,40000,Diesel
Vitara Brezza,Maruti,2016,689999,29000,Diesel
Wagon R,Maruti,2016,344999,15000,Petrol
Scorpio,Mahindra,2015,944999,45000,Diesel
Amaze,Honda,2014,274999,35000,Petrol
XUV500,Mahindra,2013,689999,80000,Diesel
Scorpio,Mahindra,2013,574999,68000,Diesel
Laura,Skoda,2013,374999,50000,Diesel
Polo,Volkswagen,2010,199999,60000,Diesel
Elite i20,Hyundai,2016,549999,9000,Petrol
Manza Aura Quadrajet,Tata,2012,130000,72000,Diesel
Sail UVA Petrol LT ABS,Chevrolet,2013,210000,60000,Petrol
Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000,45000,Diesel
A4 2.0 TDI 177bhp Premium,Audi,2012,1350000,40000,Diesel
Elantra SX,Hyundai,2013,600000,20000,Petrol
Scorpio VLX 4WD Airbag,Mahindra,2013,610000,35000,Diesel
KUV100 K8 D 6 STR,Mahindra,2016,400000,20000,Diesel
Grand i10,Hyundai,2017,524999,6821,Petrol
